smiles,IC50_nM
COc1cc(F)c(cc1-c1ccc(cc1[C@@H]1CC[C@H]2[C@H](OC(=O)N12)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(F)(F)F)-c1ccc(cc1C)C(O)=O,17000.0
COc1ccc(cc1-c1cnc(cc1[C@@H]1CC[C@H]2[C@H](OC(=O)N12)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)N(C)C)-c1ccc(cc1C)C(O)=O,17000.0
CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2CCn3c(cc4c(F)cccc34)-c2n1)-c1ccc(F)cc1,18000.0
CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2ccn3c(cc4c(F)cccc34)c2n1)-c1ccc(F)cc1,18000.0
C[C@@]1(CC[C@](C)(C1)c1nc(-c2ccc(cc2)C(=O)Nc2cc(ccn2)C(F)(F)F)c2c(N)nccn12)C(O)=O,19000.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCCCCN2CCCCC2)cc1)C(=O)OCC,21000.0
OC1=NC(=O)C(N1)(c1ccccc1)c1ccccc1,21900.0
OC1=NC(=O)C(N1)(c1ccccc1)c1ccccc1,125000.0
Cn1cc(cn1)-c1cc(nc2cc(CN3CCO[C@H](C3)C(F)(F)F)ccc12)C(N)=O,22000.0
CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2ncn3c(cc4c(F)cccc34)c2n1)-c1ccc(F)cc1,22000.0
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,22500.0
CCNC(=N)NC(=O)Nc1c(CC)cc(cc1CC)C(=O)NCc1ccccc1,22500.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,23500.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,24000.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,47000.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,50000.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,150.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,200.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCCN2CCCCC2)c(OCC)c1)C(=O)OCC,24000.0
COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,24100.0
COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,250.0
COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,9600.0
CSc1c(C#N)c(=O)c2ccc(F)cc2n1-c1c(Cl)cccc1Cl,24200.0
Cn1cc(Nc2nccc(n2)-c2ccc3[C@@H](CCN(Cc3c2)C2COC2)NC(=O)c2cn(nn2)C(C)(C)C)cn1,25000.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCCCN2CCCC2)cc1)C(=O)OCC,25000.0
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,25119.0
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,100000.0
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,2800.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCN2CCCCC2)c(OC)c1)C(=O)OCC,26000.0
C[C@H]1C[C@H](CCO1)N1C(=O)C[C@](C)(NC1=N)c1cccc(Nc2ccc(nc2)C2CC2)c1Cl,27000.0
CCNC1=N[C@H]2[C@H](O[C@H](C)[C@@H](O)[C@@H]2O)S1,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CF)[C@@H](O)[C@@H]2O)S1,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2OC)S1,30000.0
CCN(C)C1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2O)S1,30000.0
C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@](C)(O)CC[C@H]34)[C@@H]1CC[C@@H]2C(=O)Cn1cc(cn1)C#N,30000.0
Cc1c2COC(=O)c2ccc1[C@@H](O)CN1CCC2(CCN(C2=O)c2ccc(=O)n(C)n2)CC1,30000.0
Cc1cc(Nc2nccc(n2)-c2sc(nc2-c2ccc(F)cc2)C2CCNCC2)ccn1,30000.0
Cc1cc(Nc2nccc(n2)-c2sc(nc2-c2ccc(F)cc2)C2CCNCC2)ccn1,30000.0
CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2NCn3c(cc4c(F)cccc34)-c2n1)-c1ccc(F)cc1,30000.0
O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)[C@@H]3CCc4nccc(=O)n34)cc2)N1)c1ccccc1,30000.0
C[C@H]([C@H](N)c1nc2ccc(cc2[nH]1)C(C)(C)C)C(N)=O,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2F)S1,30000.0
Cc1c2COC(=O)c2ccc1[C@@H](O)CN1CCN(C[C@H](O)c2ccc3C(=O)OCc3c2C)CC1,30000.0
Cc1c2COC(=O)c2ccc1[C@@H](O)CN1CCN(C[C@H](O)c2ccc3C(=O)OCc3c2C)CC1,30000.0
CN1C(=O)[C@]2(CCCN2C(=O)C2CC2)c2cc(ccc12)-c1ncnc2n(C)c(nc12)-c1cnc(C)nc1,30000.0
CCn1c(nc2c(ncnc12)-c1cnc2NC(=O)[C@@](C)(NCC(C)(C)F)c2c1)-c1cnc(C)nc1,30000.0
CCNC1=N[C@@H]2C[C@H](O)[C@@H](CO)O[C@@H]2S1,30000.0
CC1=C(COC1=O)N1CCC2(CCN(C[C@H](O)c3ccc4C(=O)OCc4c3C)CC2)C1=O,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CO)C(F)[C@@H]2O)S1,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](COC)[C@@H](O)[C@@H]2O)S1,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CO)C[C@@H]2O)S1,30000.0
Nc1nccn2c(nc(-c3ccc(cc3)C(=O)Nc3cc(ccn3)C(F)(F)F)c12)[C@@H]1CCC[C@@H](C1)C(O)=O,30000.0
C[C@H](CC[C@](C)(O)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,30000.0
CS(=O)(=O)n1cc2CN(Cc2n1)[C@H]1CO[C@@H]([C@@H](N)C1)c1cc(F)ccc1F,30000.0
CN=C(N)NC(=O)Nc1c(C)cccc1C,30000.0
CCNC(=N)NC(=O)Nc1c(CC)cc(cc1CC)C(=O)NC(C)C,30000.0
CCNC(=N)NC(=O)Nc1c(CC)cc(NS(=O)(=O)c2ccccc2)cc1CC,30000.0
CCNC(=N)NC(=O)Nc1c(CC)cc(cc1CC)S(=O)(=O)NCC,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](OC)[C@@H]2O)S1,30000.0
C[C@@H]1C[C@H]1C(=O)N1CCN(C[C@H]1C)c1cnc(C#N)c(n1)-c1cnn(C)c1,30000.0
COc1ncc(cc1-c1ccc(cc1[C@@H]1CC[C@H]2[C@H](OC(=O)N12)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(F)(F)F)-c1ccc(cc1C)C(O)=O,30000.0
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2ccc(cc2)C(F)(F)F)c1=O,30000.0
Cc1nnc(CNc2cc(OC[C@H]3C[C@@H]3c3ccc(C)cn3)nc(C)n2)s1,30000.0
CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H]3CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)Cc4ccc(O)cc4)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N4CCC[C@H]4C(=O)N3)NC2=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,30000.0
CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H]3CSSC[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CSSC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N4CCC[C@H]4C(=O)N3)NC2=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,30000.0
CC(CC(O)=O)c1cccc(n1)-n1c(cc2ccc(OC(F)(F)F)cc12)C(N)=O,33000.0
CCCN(CCC)[C@@H]([C@H](N(CCC)C[C@H](O)CO)c1ccccn1)c1ccccn1,33000.0
NC(=O)c1ccc(Cc2ccccc2)cc1-c1cccc(CCC(O)=O)c1,33300.0
COc1ccsc1CNCC[C@]1(CCOC2(CCCC2)C1)c1ccccn1,36000.0
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,37400.0
OC[C@H](O)COc1ncc(Cl)c2n(c(CO)cc(=O)c12)-c1c(Cl)cccc1Cl,50000.0
CCn1c(nc2c(N[C@H]3CCN(C3)C(=O)C3CC3)ncnc12)-c1cnc(C)nc1,50000.0
Cc1cc(=O)c2c(F)cncc2n1-c1c(Cl)cc(cc1Cl)C#N,50000.0
OC[C@@H](O)COc1ncc(Cl)c2n(c(CO)cc(=O)c12)-c1c(Cl)cccc1Cl,50000.0
Cn1nc(cc1COc1cccc(c1)[C@@H](NC(=O)O[C@H]1CN2CCC1CC2)c1ccccc1)C(=O)OCCCCNC[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,50000.0
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,54200.0
CCC1C2CC3C4N(C)c5ccccc5C44CC(C2[C@H]4O)N3C1O,71000.0
CN(C[C@H]1Cc2c(CN1)cccc2N1CCNCC1)[C@H]1CCCc2cccnc12,80000.0
C[C@H]1CN(C[C@@H](C)N1)c1c(F)c(N)c2c(c1F)n(cc(C(O)=O)c2=O)C1CC1,88800.0
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,91200.0
C[C@H](N)[C@@H]1CCN(C1)c1c(F)cc2c3oc(C)nc3c(=O)n(C3CC3)c2c1Cl,93600.0
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1cccs1,100000.0
OC1(O)[C@H](CN2C(=N)N[C@@H](CN3C(=O)CCC3=O)[C@@H]3NC(=N)N[C@]123)NC(=O)c1cccc2CCCCc12,100000.0
OCCCCNC[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,100000.0
COc1cc([C@@H](C)C(=O)N2CC[C@]3(C2)COc2cc(c(C)nc2N3)-c2ncccn2)c(F)cn1,100000.0
Cn1nc(cc1COc1cccc(c1)[C@@H](NC(=O)O[C@H]1CN2CCC1CC2)c1ccccc1)C(O)=O,100000.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,108000.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,288000.0
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSc3nc(=O)c(O)nn3C)=C(N2C1=O)C(O)=O)c1csc(N)n1,153800.0
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1,168900.0
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1,173000.0
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1,398107.0
Cc1ncc(n1CCO)[N+]([O-])=O,177900.0
Cc1nnc(o1)C(=O)NC(C)(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,246700.0
CCN(CC)CCNC(=O)c1ccc(N)cc1,389500.0
O=C1N(C[C@H]2CCCc3cccc1c23)[C@@H]1CN2CCC1CC2,398107.0
CC(C)Cn1c2[nH]cnc2c(=O)n(C)c1=O,466000.0
Cc1c(N2CC[C@H](C2)C2(N)CC2)c(F)cc2cc(C(O)=O)c(=O)n(C3CC3)c12,500000.0
C[C@H](N)[C@@H]1CCN(C1)c1c(F)cc2cc(C(O)=O)c(=O)n3[C@@H](C)COc1c23,500000.0
C[C@H]1COc2c(N3CC[C@H](C3)C3(N)CC3)c(F)cc3cc(C(O)=O)c(=O)n1c23,500000.0
NC(=O)c1ncn(n1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,622500.0
Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,713900.0
OC(=O)c1ccc(cc1)-n1nc(nc1-c1ccccc1O)-c1ccccc1O,1000000.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2cc(OC)c(OC)c(OC)c2)cc1OC,17.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,30.0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,34.0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,38.0
COC(=O)C1C(C(C(=O)OC)=C(C)N=C1C)c1ccccc1[N+]([O-])=O,60.0
COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C,110.0
CNCC[C@](O)([C@H](c1ccccc1)c1cc2cc(Br)ccc2nc1OC)c1cccc2ccccc12,750.0
CCNCCc1c(nn(c1-c1ccccc1)-c1ccccc1)C(=O)NCc1ccccc1OCC(F)(F)F,860.0
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,1000.0
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,1400.0
CCc1cc(CC(=O)Nc2ccn(Cc3ccc(cn3)C#N)n2)ccc1OCC(F)(F)F,1100.0
CCOC(=O)C1=C(COCCN)NC(C)=C(C1c1ccccc1Cl)C(=O)OC,1200.0
CCOC(=O)C1=C(COCCN)NC(C)=C(C1c1ccccc1Cl)C(=O)OC,4200.0
COC(=O)C1=C(C)NC(C)=C([C@H]1c1cccc(c1)[N+]([O-])=O)C(=O)O[C@H]1CCN(Cc2ccccc2)C1,1200.0
COC(=O)C1=C(C)NC(C)=C([C@H]1c1cccc(c1)[N+]([O-])=O)C(=O)O[C@H]1CCN(Cc2ccccc2)C1,3100.0
Cc1cc(CC(=O)Nc2ccn(Cc3ccc(cn3)C#N)n2)ccc1OC(F)(F)F,1480.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCN2CCCCCC2)c(Br)c1)C(=O)OCC,1500.0
COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,1750.0
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,1900.0
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(ccc12)C(F)(F)F,1900.0
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)=C(N2C1=O)C(O)=O,1995.0
Cc1cc(CC(=O)Nc2ccn(Cc3ccc(cn3)C#N)n2)ccc1OCCC(F)(F)F,2080.0
FC(F)(F)C1(CC1)c1ccc(CC(=O)Nc2ccn(Cc3ccc(cn3)C#N)n2)cc1,2410.0
CC(C)(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(cn3)C#N)n2)cc1,2420.0
CC1(CCC1)NC(=O)CN1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,2580.0
CC1(CCC1)NC(=O)CN1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,3900.0
CC(C)OCc1ccccc1CNC(=O)c1c2CCC(C)(C)Cc2c(Cl)n1C,2730.0
Clc1cccc(CC(=O)Nc2ccn(Cc3ccccc3)n2)c1,2800.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCN2CCCCC2)c(Br)c1)C(=O)OCC,2800.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCN2CCCCC2)c(Cl)c1)C(=O)OCC,2900.0
CC(C)C[C@H](CN)Cc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,2990.0
CC(C)C[C@H](CN)Cc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
CNCC[C@](O)([C@H](c1ccccc1)c1ccc(nc1OC)-c1ccc(Cl)cc1)c1cccc2ccccc12,3000.0
Cc1cc(CC(=O)Nc2ccn(Cc3ccc(cn3)C#N)n2)ccc1OCC(F)(F)F,3310.0
CC(C)(C)NC(=O)CN1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,3560.0
CC(C)(C)NC(=O)CN1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,6120.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCN2CCCCCC2)c(Cl)c1)C(=O)OCC,4000.0
COc1ccc(cc1-c1ccc(cc1[C@@H]1CC[C@H]2[C@H](OC(=O)N12)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(F)(F)F)[C@H]1C[C@@H](C1)C(O)=O,4000.0
FC(F)(F)c1cc(c2nc(CC3CNC3)[nH]c2c1)C(F)(F)F,4240.0
FC(F)(F)c1cc(c2nc(CC3CNC3)[nH]c2c1)C(F)(F)F,10000.0
FC(F)(F)c1cc2nc(CC3CNC3)[nH]c2cc1C(F)(F)F,4300.0
FC(F)(F)c1cc2nc(CC3CNC3)[nH]c2cc1C(F)(F)F,10000.0
O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,4300.0
O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,6310.0
C[C@H]1CC[C@H](CN1C(=O)C1CC1)c1nc(-c2ccc(cc2F)C(=O)Nc2cc(ccn2)C(F)(F)F)c2c(N)nccn12,4500.0
CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,4800.0
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(O)=O)CC[C@@]1(C)c1cccc(O)c1,5012.0
COc1ccc(c(F)c1)-c1cc(nc2cc(CCc3cnc(C)nc3)ccc12)C(N)=O,5100.0
FC(F)(F)Cc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,5300.0
FC(F)(F)Cc1nc2c(cc(cc2[nH]1)C(F)(F)F)C(F)(F)F,7500.0
COC(=O)C(CCC(=O)N(C)CCCc1nc2ccccc2[nH]1)(C(C)C)c1ccc(Br)cc1,5420.0
COC(=O)C(CCC(=O)N1CCN(CC1)c1ccccc1OC)(C(C)C)c1ccc(Br)cc1,5900.0
CC(C)(C)CC(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,6000.0
CC(C)(C)CC(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,6500.0
CC(C)C[C@H](CN)CC(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,6400.0
